chem_index	gene_index	chemName	geneid
58	7	Methyl Methanesulfonate	7124
104	7	Phenylmercuric Acetate	7124
112	7	tris(1,3-dichloro-2-propyl)phosphate	7124
218	7	ICG 001	7124
247	7	dicrotophos	7124
306	7	methylmercuric chloride	7124
433	7	potassium chromate(VI)	7124
568	7	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	7124
588	7	abrine	7124
58	10	Methyl Methanesulfonate	7421
81	10	cobaltous chloride	7421
104	10	Phenylmercuric Acetate	7421
112	10	tris(1,3-dichloro-2-propyl)phosphate	7421
218	10	ICG 001	7421
291	10	Arsenic Trioxide	7421
306	10	methylmercuric chloride	7421
429	10	Arsenic	7421
568	10	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	7421
81	13	cobaltous chloride	3665
104	13	Phenylmercuric Acetate	3665
218	13	ICG 001	3665
225	13	butyraldehyde	3665
247	13	dicrotophos	3665
291	13	Arsenic Trioxide	3665
306	13	methylmercuric chloride	3665
369	13	Silicon Dioxide	3665
433	13	potassium chromate(VI)	3665
545	13	Lead	3665
590	13	sodium arsenite	3665
58	15	Methyl Methanesulfonate	57491
104	15	Phenylmercuric Acetate	57491
112	15	tris(1,3-dichloro-2-propyl)phosphate	57491
141	15	Nickel	57491
218	15	ICG 001	57491
225	15	butyraldehyde	57491
247	15	dicrotophos	57491
291	15	Arsenic Trioxide	57491
306	15	methylmercuric chloride	57491
369	15	Silicon Dioxide	57491
433	15	potassium chromate(VI)	57491
545	15	Lead	57491
590	15	sodium arsenite	57491
104	16	Phenylmercuric Acetate	4609
225	16	butyraldehyde	4609
429	16	Arsenic	4609
433	16	potassium chromate(VI)	4609
545	16	Lead	4609
588	16	abrine	4609
58	20	Methyl Methanesulfonate	841
112	20	tris(1,3-dichloro-2-propyl)phosphate	841
218	20	ICG 001	841
225	20	butyraldehyde	841
247	20	dicrotophos	841
369	20	Silicon Dioxide	841
545	20	Lead	841
55	21	Tetrachlorodibenzodioxin	4440
58	21	Methyl Methanesulfonate	4440
81	21	cobaltous chloride	4440
104	21	Phenylmercuric Acetate	4440
112	21	tris(1,3-dichloro-2-propyl)phosphate	4440
141	21	Nickel	4440
218	21	ICG 001	4440
225	21	butyraldehyde	4440
247	21	dicrotophos	4440
306	21	methylmercuric chloride	4440
338	21	Benzo(a)pyrene	4440
369	21	Silicon Dioxide	4440
429	21	Arsenic	4440
433	21	potassium chromate(VI)	4440
500	21	Aflatoxin B1	4440
568	21	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	4440
590	21	sodium arsenite	4440
55	23	Tetrachlorodibenzodioxin	81631
104	23	Phenylmercuric Acetate	81631
141	23	Nickel	81631
247	23	dicrotophos	81631
55	24	Tetrachlorodibenzodioxin	101669762
58	24	Methyl Methanesulfonate	101669762
81	24	cobaltous chloride	101669762
112	24	tris(1,3-dichloro-2-propyl)phosphate	101669762
141	24	Nickel	101669762
218	24	ICG 001	101669762
225	24	butyraldehyde	101669762
247	24	dicrotophos	101669762
291	24	Arsenic Trioxide	101669762
306	24	methylmercuric chloride	101669762
338	24	Benzo(a)pyrene	101669762
369	24	Silicon Dioxide	101669762
429	24	Arsenic	101669762
433	24	potassium chromate(VI)	101669762
545	24	Lead	101669762
568	24	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	101669762
588	24	abrine	101669762
590	24	sodium arsenite	101669762
55	26	Tetrachlorodibenzodioxin	7471
58	26	Methyl Methanesulfonate	7471
81	26	cobaltous chloride	7471
104	26	Phenylmercuric Acetate	7471
112	26	tris(1,3-dichloro-2-propyl)phosphate	7471
141	26	Nickel	7471
225	26	butyraldehyde	7471
247	26	dicrotophos	7471
291	26	Arsenic Trioxide	7471
306	26	methylmercuric chloride	7471
338	26	Benzo(a)pyrene	7471
369	26	Silicon Dioxide	7471
429	26	Arsenic	7471
433	26	potassium chromate(VI)	7471
500	26	Aflatoxin B1	7471
545	26	Lead	7471
568	26	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	7471
588	26	abrine	7471
55	39	Tetrachlorodibenzodioxin	2879
58	39	Methyl Methanesulfonate	2879
104	39	Phenylmercuric Acetate	2879
112	39	tris(1,3-dichloro-2-propyl)phosphate	2879
141	39	Nickel	2879
218	39	ICG 001	2879
225	39	butyraldehyde	2879
247	39	dicrotophos	2879
306	39	methylmercuric chloride	2879
338	39	Benzo(a)pyrene	2879
369	39	Silicon Dioxide	2879
429	39	Arsenic	2879
433	39	potassium chromate(VI)	2879
500	39	Aflatoxin B1	2879
545	39	Lead	2879
588	39	abrine	2879
58	50	Methyl Methanesulfonate	5241
104	50	Phenylmercuric Acetate	5241
218	50	ICG 001	5241
225	50	butyraldehyde	5241
247	50	dicrotophos	5241
291	50	Arsenic Trioxide	5241
306	50	methylmercuric chloride	5241
369	50	Silicon Dioxide	5241
433	50	potassium chromate(VI)	5241
500	50	Aflatoxin B1	5241
545	50	Lead	5241
568	50	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	5241
588	50	abrine	5241
58	54	Methyl Methanesulfonate	9971
81	54	cobaltous chloride	9971
104	54	Phenylmercuric Acetate	9971
141	54	Nickel	9971
218	54	ICG 001	9971
291	54	Arsenic Trioxide	9971
429	54	Arsenic	9971
433	54	potassium chromate(VI)	9971
545	54	Lead	9971
568	54	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	9971
588	54	abrine	9971
55	58	Tetrachlorodibenzodioxin	407015
58	58	Methyl Methanesulfonate	407015
81	58	cobaltous chloride	407015
104	58	Phenylmercuric Acetate	407015
112	58	tris(1,3-dichloro-2-propyl)phosphate	407015
141	58	Nickel	407015
218	58	ICG 001	407015
225	58	butyraldehyde	407015
247	58	dicrotophos	407015
291	58	Arsenic Trioxide	407015
306	58	methylmercuric chloride	407015
338	58	Benzo(a)pyrene	407015
369	58	Silicon Dioxide	407015
429	58	Arsenic	407015
433	58	potassium chromate(VI)	407015
500	58	Aflatoxin B1	407015
545	58	Lead	407015
568	58	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	407015
588	58	abrine	407015
590	58	sodium arsenite	407015
58	60	Methyl Methanesulfonate	1555
81	60	cobaltous chloride	1555
104	60	Phenylmercuric Acetate	1555
141	60	Nickel	1555
218	60	ICG 001	1555
225	60	butyraldehyde	1555
247	60	dicrotophos	1555
291	60	Arsenic Trioxide	1555
306	60	methylmercuric chloride	1555
369	60	Silicon Dioxide	1555
429	60	Arsenic	1555
433	60	potassium chromate(VI)	1555
545	60	Lead	1555
588	60	abrine	1555
55	61	Tetrachlorodibenzodioxin	3630
58	61	Methyl Methanesulfonate	3630
81	61	cobaltous chloride	3630
104	61	Phenylmercuric Acetate	3630
112	61	tris(1,3-dichloro-2-propyl)phosphate	3630
141	61	Nickel	3630
218	61	ICG 001	3630
225	61	butyraldehyde	3630
247	61	dicrotophos	3630
291	61	Arsenic Trioxide	3630
306	61	methylmercuric chloride	3630
338	61	Benzo(a)pyrene	3630
369	61	Silicon Dioxide	3630
429	61	Arsenic	3630
433	61	potassium chromate(VI)	3630
500	61	Aflatoxin B1	3630
545	61	Lead	3630
568	61	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	3630
588	61	abrine	3630
55	62	Tetrachlorodibenzodioxin	590
81	62	cobaltous chloride	590
112	62	tris(1,3-dichloro-2-propyl)phosphate	590
218	62	ICG 001	590
225	62	butyraldehyde	590
247	62	dicrotophos	590
338	62	Benzo(a)pyrene	590
429	62	Arsenic	590
433	62	potassium chromate(VI)	590
545	62	Lead	590
568	62	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	590
590	62	sodium arsenite	590
58	63	Methyl Methanesulfonate	8856
81	63	cobaltous chloride	8856
104	63	Phenylmercuric Acetate	8856
141	63	Nickel	8856
218	63	ICG 001	8856
225	63	butyraldehyde	8856
247	63	dicrotophos	8856
291	63	Arsenic Trioxide	8856
306	63	methylmercuric chloride	8856
369	63	Silicon Dioxide	8856
429	63	Arsenic	8856
433	63	potassium chromate(VI)	8856
545	63	Lead	8856
588	63	abrine	8856
58	66	Methyl Methanesulfonate	1588
81	66	cobaltous chloride	1588
104	66	Phenylmercuric Acetate	1588
141	66	Nickel	1588
218	66	ICG 001	1588
225	66	butyraldehyde	1588
291	66	Arsenic Trioxide	1588
369	66	Silicon Dioxide	1588
429	66	Arsenic	1588
433	66	potassium chromate(VI)	1588
545	66	Lead	1588
568	66	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1588
588	66	abrine	1588
55	68	Tetrachlorodibenzodioxin	1244
58	68	Methyl Methanesulfonate	1244
81	68	cobaltous chloride	1244
104	68	Phenylmercuric Acetate	1244
141	68	Nickel	1244
218	68	ICG 001	1244
306	68	methylmercuric chloride	1244
369	68	Silicon Dioxide	1244
433	68	potassium chromate(VI)	1244
545	68	Lead	1244
568	68	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1244
588	68	abrine	1244
58	69	Methyl Methanesulfonate	1950
112	69	tris(1,3-dichloro-2-propyl)phosphate	1950
218	69	ICG 001	1950
225	69	butyraldehyde	1950
247	69	dicrotophos	1950
338	69	Benzo(a)pyrene	1950
369	69	Silicon Dioxide	1950
429	69	Arsenic	1950
433	69	potassium chromate(VI)	1950
545	69	Lead	1950
568	69	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1950
588	69	abrine	1950
55	73	Tetrachlorodibenzodioxin	1592
58	73	Methyl Methanesulfonate	1592
81	73	cobaltous chloride	1592
141	73	Nickel	1592
218	73	ICG 001	1592
247	73	dicrotophos	1592
291	73	Arsenic Trioxide	1592
338	73	Benzo(a)pyrene	1592
433	73	potassium chromate(VI)	1592
545	73	Lead	1592
568	73	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1592
58	74	Methyl Methanesulfonate	213
81	74	cobaltous chloride	213
104	74	Phenylmercuric Acetate	213
112	74	tris(1,3-dichloro-2-propyl)phosphate	213
218	74	ICG 001	213
225	74	butyraldehyde	213
429	74	Arsenic	213
433	74	potassium chromate(VI)	213
500	74	Aflatoxin B1	213
588	74	abrine	213
58	76	Methyl Methanesulfonate	207
104	76	Phenylmercuric Acetate	207
112	76	tris(1,3-dichloro-2-propyl)phosphate	207
218	76	ICG 001	207
225	76	butyraldehyde	207
247	76	dicrotophos	207
306	76	methylmercuric chloride	207
369	76	Silicon Dioxide	207
433	76	potassium chromate(VI)	207
545	76	Lead	207
58	78	Methyl Methanesulfonate	3934
104	78	Phenylmercuric Acetate	3934
247	78	dicrotophos	3934
306	78	methylmercuric chloride	3934
429	78	Arsenic	3934
433	78	potassium chromate(VI)	3934
545	78	Lead	3934
568	78	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	3934
588	78	abrine	3934
58	81	Methyl Methanesulfonate	4780
112	81	tris(1,3-dichloro-2-propyl)phosphate	4780
141	81	Nickel	4780
