chem_index	gene_index	chemName	geneid
13	1	dicrotophos	3479
77	1	ICG 001	3479
98	1	butyraldehyde	3479
152	1	Phenylmercuric Acetate	3479
162	1	methylmercuric chloride	3479
172	1	Silicon Dioxide	3479
238	1	potassium chromate(VI)	3479
364	1	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	3479
384	1	abrine	3479
13	2	dicrotophos	4440
38	2	tris(1,3-dichloro-2-propyl)phosphate	4440
67	2	Methyl Methanesulfonate	4440
77	2	ICG 001	4440
98	2	butyraldehyde	4440
105	2	cobaltous chloride	4440
152	2	Phenylmercuric Acetate	4440
157	2	Nickel	4440
162	2	methylmercuric chloride	4440
172	2	Silicon Dioxide	4440
176	2	Tetrachlorodibenzodioxin	4440
234	2	Arsenic	4440
238	2	potassium chromate(VI)	4440
280	2	Aflatoxin B1	4440
364	2	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	4440
382	2	Benzo(a)pyrene	4440
385	2	sodium arsenite	4440
13	3	dicrotophos	3162
77	3	ICG 001	3162
98	3	butyraldehyde	3162
238	3	potassium chromate(VI)	3162
98	5	butyraldehyde	4609
152	5	Phenylmercuric Acetate	4609
234	5	Arsenic	4609
238	5	potassium chromate(VI)	4609
376	5	Lead	4609
384	5	abrine	4609
38	6	tris(1,3-dichloro-2-propyl)phosphate	1786
77	6	ICG 001	1786
98	6	butyraldehyde	1786
152	6	Phenylmercuric Acetate	1786
162	6	methylmercuric chloride	1786
238	6	potassium chromate(VI)	1786
280	6	Aflatoxin B1	1786
364	6	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1786
384	6	abrine	1786
13	13	dicrotophos	1890
38	13	tris(1,3-dichloro-2-propyl)phosphate	1890
67	13	Methyl Methanesulfonate	1890
77	13	ICG 001	1890
98	13	butyraldehyde	1890
105	13	cobaltous chloride	1890
152	13	Phenylmercuric Acetate	1890
162	13	methylmercuric chloride	1890
176	13	Tetrachlorodibenzodioxin	1890
234	13	Arsenic	1890
238	13	potassium chromate(VI)	1890
280	13	Aflatoxin B1	1890
364	13	7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	1890
376	13	Lead	1890
382	13	Benzo(a)pyrene	1890
385	13	sodium arsenite	1890
13	16	dicrotophos	6582
38	16	tris(1,3-dichloro-2-propyl)phosphate	6582
67	16	Methyl Methanesulfonate	6582
77	16	ICG 001	6582
98	16	butyraldehyde	6582
105	16	cobaltous chloride	6582
130	16	Arsenic Trioxide	6582
152	16	Phenylmercuric Acetate	6582
157	16	Nickel	6582
162	16	methylmercuric chloride	6582
172	16	Silicon Dioxide	6582
