chem_index	gene_index	chemName	geneid
382	1	Benzo(a)pyrene	3479
130	2	Arsenic Trioxide	4440
71	3	Cadmium Chloride	3162
107	3	Cadmium	3162
124	3	Paraquat	3162
130	3	Arsenic Trioxide	3162
231	3	zinc protoporphyrin	3162
250	3	Raloxifene Hydrochloride	3162
305	3	Hemin	3162
331	3	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	3162
363	3	tricarbonyldichlororuthenium (II) dimer	3162
385	3	sodium arsenite	3162
71	5	Cadmium Chloride	4609
130	5	Arsenic Trioxide	4609
6	6	casticin	1786
224	13	salinomycin	1890
215	16	4-(4-(dimethylamino)styryl)-1-methylpyridinium iodide	6582
344	16	4-(4-dimethylaminostyryl)-1-methylpyridinium	6582
176	17	Tetrachlorodibenzodioxin	5241
71	19	Cadmium Chloride	7494
385	19	sodium arsenite	7494
14	24	deoxynivalenol	3576
71	24	Cadmium Chloride	3576
105	24	cobaltous chloride	3576
119	24	Poly I-C	3576
130	24	Arsenic Trioxide	3576
136	24	tert-Butylhydroperoxide	3576
176	24	Tetrachlorodibenzodioxin	3576
186	24	Oligomycins	3576
259	24	Calcimycin	3576
276	24	Antimycin A	3576
331	24	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	3576
379	24	Mustard Gas	3576
382	24	Benzo(a)pyrene	3576
385	24	sodium arsenite	3576
69	25	8-Bromo Cyclic Adenosine Monophosphate	3484
130	30	Arsenic Trioxide	5914
376	31	Lead	351
143	32	glycylsarcosine	6564
71	34	Cadmium Chloride	3553
136	34	tert-Butylhydroperoxide	3553
172	34	Silicon Dioxide	3553
176	34	Tetrachlorodibenzodioxin	3553
186	34	Oligomycins	3553
207	34	diphenyleneiodonium	3553
259	34	Calcimycin	3553
320	34	Asbestos, Crocidolite	3553
331	34	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	3553
345	34	tyrosyl-valyl-alanyl-aspartic acid fluoromethyl ketone	3553
382	34	Benzo(a)pyrene	3553
385	34	sodium arsenite	3553
3	35	benzyloxycarbonyl-valyl-alanyl-aspartic acid	8743
31	35	auriculasin	8743
130	35	Arsenic Trioxide	8743
73	38	mercuric bromide	9241
152	38	Phenylmercuric Acetate	9241
162	38	methylmercuric chloride	9241
165	38	p-Chloromercuribenzoic Acid	9241
275	38	Mercuric Chloride	9241
77	42	ICG 001	183
176	44	Tetrachlorodibenzodioxin	54658
382	44	Benzo(a)pyrene	54658
176	45	Tetrachlorodibenzodioxin	5055
385	50	sodium arsenite	10498
130	51	Arsenic Trioxide	5300
385	53	sodium arsenite	3297
61	59	dibromoacetonitrile	4353
159	59	5,5-dimethyl-1-pyrroline-1-oxide	4353
52	60	bis(4-hydroxyphenyl)sulfone	3630
210	60	bisphenol F	3630
292	60	triphenyl phosphate	3630
385	60	sodium arsenite	3630
259	62	Calcimycin	240
271	65	fatostatin	6720
29	66	salvin	4780
124	66	Paraquat	4780
130	66	Arsenic Trioxide	4780
243	66	shogaol	4780
263	66	arsenite	4780
285	66	nickel acetate	4780
331	66	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	4780
350	66	benzyloxycarbonylleucyl-leucyl-leucine aldehyde	4780
382	66	Benzo(a)pyrene	4780
385	66	sodium arsenite	4780
293	68	lithocholic acid acetate	7421
389	73	ethyl (5-(diethylglycyl)-10,11-dihydro-5H-dibenzo(b,f)azepin-3-yl)carbamate	9970
71	75	Cadmium Chloride	114548
45	77	Sodium Selenite	2879
2	79	methylselenic acid	3309
294	83	Vincristine	4363
309	83	verlukast	4363
268	85	dihydroartemisinin	9971
71	90	Cadmium Chloride	3091
105	90	cobaltous chloride	3091
157	90	Nickel	3091
350	90	benzyloxycarbonylleucyl-leucyl-leucine aldehyde	3091
385	90	sodium arsenite	3091
396	96	Acetylmuramyl-Alanyl-Isoglutamine	64127
105	98	cobaltous chloride	2034
45	103	Sodium Selenite	7296
128	106	4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone	1553
280	106	Aflatoxin B1	1553
54	108	BQ 788	1906
105	108	cobaltous chloride	1906
242	111	2,5,7,8-tetramethyl-2R-(4R,8R,12-trimethyltridecyl)chroman-6-yloxy acetic acid	10413
293	114	lithocholic acid acetate	1591
0	115	Rifampin	1555
104	117	Toluene 2,4-Diisocyanate	213
25	119	Benzene	1571
39	119	Dimethylnitrosamine	1571
316	119	Styrene	1571
130	123	Arsenic Trioxide	596
385	127	sodium arsenite	1386
130	133	Arsenic Trioxide	598
343	134	Hyaluronic Acid	2033
119	139	Poly I-C	3665
287	142	Fatty Acids, Nonesterified	407015
385	146	sodium arsenite	5728
149	147	Miransertib	356
313	147	2-amino-6-chloro-alpha-cyano-3-(ethoxycarbonyl)-4H-1-benzopyran-4-acetic acid ethyl ester	356
136	149	tert-Butylhydroperoxide	23643
176	156	Tetrachlorodibenzodioxin	901
382	161	Benzo(a)pyrene	8505
385	164	sodium arsenite	3383
71	166	Cadmium Chloride	5594
107	166	Cadmium	5594
117	166	4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-3H-cyclopenta(c)quinoline	5594
130	166	Arsenic Trioxide	5594
176	166	Tetrachlorodibenzodioxin	5594
331	166	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	5594
382	166	Benzo(a)pyrene	5594
385	166	sodium arsenite	5594
23	169	epicatechin gallate	406
180	169	gallocatechol	406
105	172	cobaltous chloride	7422
157	172	Nickel	7422
176	172	Tetrachlorodibenzodioxin	7422
331	172	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	7422
385	172	sodium arsenite	7422
329	173	fenofibric acid	5465
338	173	perfluorooctanoic acid	5465
3	175	benzyloxycarbonyl-valyl-alanyl-aspartic acid	836
71	175	Cadmium Chloride	836
105	175	cobaltous chloride	836
107	175	Cadmium	836
124	175	Paraquat	836
130	175	Arsenic Trioxide	836
136	175	tert-Butylhydroperoxide	836
137	175	Oxidopamine	836
148	175	benzyloxycarbonyl-isoleucyl-glutamyl-threonyl-aspartic acid fluoromethyl ketone	836
172	175	Silicon Dioxide	836
277	175	3-methyladenine	836
323	175	benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone	836
331	175	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	836
379	175	Mustard Gas	836
382	175	Benzo(a)pyrene	836
385	175	sodium arsenite	836
158	176	1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	2488
277	178	3-methyladenine	8678
156	179	furafylline	1544
176	179	Tetrachlorodibenzodioxin	1544
246	179	Clozapine	1544
360	179	2-amino-3,8-dimethylimidazo(4,5-f)quinoxaline	1544
382	179	Benzo(a)pyrene	1544
107	183	Cadmium	4318
130	183	Arsenic Trioxide	4318
269	183	FSL-1 lipoprotein, synthetic	4318
331	183	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	4318
385	183	sodium arsenite	4318
303	185	Butyrates	6566
58	186	melamine	7040
130	186	Arsenic Trioxide	7040
158	186	1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole	7040
172	186	Silicon Dioxide	7040
176	186	Tetrachlorodibenzodioxin	7040
0	188	Rifampin	10599
24	188	Atorvastatin	10599
130	209	Arsenic Trioxide	841
148	209	benzyloxycarbonyl-isoleucyl-glutamyl-threonyl-aspartic acid fluoromethyl ketone	841
385	211	sodium arsenite	406947
71	214	Cadmium Chloride	207
130	214	Arsenic Trioxide	207
385	214	sodium arsenite	207
130	216	Arsenic Trioxide	7015
124	221	Paraquat	847
385	221	sodium arsenite	847
242	222	2,5,7,8-tetramethyl-2R-(4R,8R,12-trimethyltridecyl)chroman-6-yloxy acetic acid	25
130	224	Arsenic Trioxide	5970
263	224	arsenite	5970
324	224	zerumbone	5970
343	224	Hyaluronic Acid	5970
350	224	benzyloxycarbonylleucyl-leucyl-leucine aldehyde	5970
385	224	sodium arsenite	5970
71	226	Cadmium Chloride	595
130	226	Arsenic Trioxide	595
385	226	sodium arsenite	595
105	235	cobaltous chloride	5743
130	235	Arsenic Trioxide	5743
176	235	Tetrachlorodibenzodioxin	5743
331	235	2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one	5743
342	235	lead nitrate	5743
385	235	sodium arsenite	5743
250	240	Raloxifene Hydrochloride	2100
176	243	Tetrachlorodibenzodioxin	1509
293	246	lithocholic acid acetate	6256
71	249	Cadmium Chloride	23411
130	251	Arsenic Trioxide	1432
130	253	Arsenic Trioxide	637
